PO ZB327 - Remaining to procure from publishers (3265 ISBNs),,,,,,,,,,,,,,,,,,,,,,,
Not available/profitable on Amazon. Publisher names recovered from Amazon scrape & merged across variants. Sorted biggest publisher first.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,ISBN,Title,PO Price (USD),REMARKS,,,,,,,,Merged Publisher,,,,,,,,,,,Group #books
443,9783382147556,The Romance of the Streets,$92.00,,,• medtree.co.in                : 1 link(s) (Skipped),,,,,,Anatiposi Verlag,,,,,,,,,,,72
447,9783382004088,Vierteljahrsschrift der Naturforschenden Gesellschaft in Zürich: Sechster Jahrgang (German Edition),$92.00,,,• omnibookslibrary.com         : 1 link(s) (Skipped),,,,,,Anatiposi Verlag,,,,,,,,,,,72
641,9783368184087,A History of the Mathematical Theories of Attraction and the Figure of the Earth: Vol. 2,$92.00,,,• pragationline.com            : 1 link(s) (Skipped),,,,,,Outlook Verlag,,,,,,,,,,,38
645,9783368267506,Deutsche Erzähler: Zweiter Band (German Edition),$92.00,,,• prithvibooks.com             : 1 link(s) (Skipped),,,,,,Outlook Verlag,,,,,,,,,,,38
656,9783368824013,Lost for Love: Vol. II,$92.00,,,• rgbooks.net                  : 1 link(s) (Skipped),,,,,,Outlook Verlag,,,,,,,,,,,38
665,9783368043001,Seventy Sonnets of Camoens,$92.00,,,• urbanbae.com                 : 1 link(s) (Skipped),,,,,,Outlook Verlag,,,,,,,,,,,38
1972,9780723607656,A Guide to the X-ray Department,$84.08,,https://ahujabooks.com/book/guide-to-the-x-ray-department/9780723607656,• usedbookstore.in             : 1 link(s) (Skipped),,,,,,Butterworth-Heinemann Ltd,,,,,,,,,,,1
3215,9780592054438,Vinyl chloride and vinyl acetate polymers,$81.39,,https://www.ebay.com/itm/256876553590,• usedbooksworld.in            : 1 link(s) (Skipped),,,,,,(unknown),,,,,,,,,,,
438,9783382175740,The Guide to Knowledge,$81.00,,https://www.amazon.com/Guide-Knowledge-Heavens-Leather-Bound/dp/B0FH1HQ8J3/ref=tmm_hrd_swatch_0,• worldofbooks.com             : 1 link(s) (Skipped),,,,,,Anatiposi Verlag,,,,,,,,,,,72
399,9783382143435,Geometrical Conic Sections,$81.00,,https://www.amazon.com/Geometrical-Conic-Sections-Stuart-Jackson/dp/1362559113/ref=tmm_pap_swatch_0,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
390,9783382004989,Denkwürdigkeiten des kaiserl. Russ. Generals von der Infanterie Carl Friedrich Grafen von Toll: Erster Band (German Edition),$81.00,,https://www.abebooks.com/Denkwurdigkeiten-Kaiserl-Russ-Generals-Infanterie-Carl/32117833670/bd,BOOKCHOR,,PENDING,,,,Anatiposi Verlag,,,,,,,,,,,72
673,9783368343811,The Satyricon of Petronius Arbiter: in large print,$81.00,,https://www.abebooks.co.uk/Satyricon-Petronius-Arbiter-large-print-Antigonos/32268849975/bd,IBLERLIBRO,,PENDING,,,,Outlook Verlag,,,,,,,,,,,38
379,9783382138738,A Latin Reader,$81.00,,,MERI PUSTAK,,PAYMENT DONE ORDER FAILED,,,,Anatiposi Verlag,,,,,,,,,,,72
401,9783382135522,History of english poetry: Vol. 1,$81.00,,,https://www.starpublic.com/,,LOGIN Error,,,,Anatiposi Verlag,,,,,,,,,,,72
444,9783382148706,The School and the Army in Germany and France,$81.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
654,9783368179212,Lectures on the Study of History,$81.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
657,9783368178505,Memoir of Sir James Dalrymple,$81.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
670,9783368828387,The Clock Struck Three: Part II,$81.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
671,9783368811716,The Jade Chaplet,$80.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
2420,9781572782648,Biosolids Land Appliers' Guide to Preparing for the Certification Examination,$75.18,,,,,,,,,Water Environment Federation,,,,,,,,,,,1
2039,9782409046001,Desarrollar aplicaciones web con PHP y Symfony: .,$73.00,,https://www.abebooks.co.uk/book-search/isbn/9782409046001/n/100121501,,,,,,,Ediciones ENI,,,,,,,,,,,1
420,9783382134617,Report of Proceedings of the Ninth Annual Meeting,$72.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
435,9783382165291,The Analytical Speller,$72.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
662,9783382146528,Reports of Cases Determined in the Supreme Court,$69.00,,https://www.iberlibro.com/Reports-Cases-Determined-Supreme-Court-Chancery/31244197066/bd,,,,,,,Outlook Verlag,,,,,,,,,,,38
414,9783382803742,Mine own familiar friend: Vol. 1,$69.00,,https://www.amazon.com/Familiar-Friend-Fanny-Charlotte-Montgomery/dp/131867848X/ref=tmm_pap_swatch_0,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
395,9783382018160,"Die Werke der Troubadours, in Provenzalischer Sprache: Zweiter Band (German Edition)",$69.00,,https://www.amazon.co.uk/Die-Werke-Troubadours-Provenzalischer-Sprache/dp/3382018160,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
1740,9783368047603,El mágico prodigioso (Spanish Edition),$69.00,,https://www.amazon.ca/prodigioso-Natalia-Fern%C3%A1ndez-Rodr%C3%ADguez-Calder%C3%B3n/dp/8474236983/ref=tmm_mmp_swatch_0,,,,,,,Createspace Independent Pub,,,,,,,,,,,2
442,9783382132224,The Problem of Evil,$69.00,,https://www.abebooks.co.uk/Problem-Evil-Lects-E.W-Shalders-Jules/31026988823/bd,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
436,9783382815608,The Autobiography of an Octogenarian,$69.00,,https://www.abebooks.co.uk/Autobiography-Octogenarian-Classic-Reprint-Daniel-Noyes/31055273148/bd,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
434,9783382148867,The 100 Years Anglo-Chinese Calendar,$69.00,,https://www.abebooks.co.uk/100-Years-Anglo-Chinese-Calendar-1st-Jan/31244166970/bd,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
396,9783382027520,Entwickelung der Gesetze des menschlichen Verkehrs (German Edition),$69.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
427,9783382145521,Second Annual Report of the Board of Commissioners of Public Charities,$69.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
445,9783382198046,The Wildfords in India,$69.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
643,9783368823160,Comparative Ana and Physiology,$69.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
650,9783368823801,History of Two Queens: Vol. VI,$69.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
651,9783368227364,Im Banne der Furcht (German Edition),$69.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
1457,9783368272807,Briefe an seine Familie: Erster Band (German Edition),$69.00,,,,,,,,,Antigonos Verlag,,,,,,,,,,,6
1448,9783031308246,"Tools and Algorithms for the Construction and Analysis of Systems: 29th International Conference, TACAS 2023, Held as Part of the European Joint ... France, April 22-27, 2023, Proceedings, Pa",$66.00,,https://www.abebooks.com/servlet/SearchResults?bi=s&ds=5&sortby=17&tn=tools%20algorithms%20construction%20analysis,,,,,,,Springer,,,,,,,,,,,7
2591,9783031133329,Coherence: In Signal Processing and Machine Learning,$66.00,,,,,,,,,(unknown),,,,,,,,,,,
652,9783368909031,Karjalan kankahilta I (Finnish Edition),$61.00,,https://www.amazon.com/Karjalan-kankahilta-Classic-Books-Finnish/dp/B0D2ZTBYDK/ref=tmm_pap_swatch_0,,,,,,,Outlook Verlag,,,,,,,,,,,38
648,9783368044428,El Mesías (Spanish Edition),$61.00,,https://www.amazon.com/dp/3368044427?lv=shuf&language=es&channelId=500&plpRedirect=mhFallback,,,,,,,Outlook Verlag,,,,,,,,,,,38
398,9783382011857,Genesis des Concordates zwischen dem Kaiserthume Oesterreich und dem päpstlichen Stuhle (German Edition),$61.00,,https://www.amazon.co.uk/Concordates-zwischen-Kaiserthume-Oesterreich-p%C3%A4pstlichen/dp/3382011859,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
405,9783382017651,Jahresbericht des phyikalischen Vereins zu Frankfurt am Main für das Rechnungsjahr 1855-1856 (German Edition),$61.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
406,9783382016678,Karolellus (German Edition),$61.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
422,9783382134556,Report of the United States Commissioners to Texas,$61.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
437,9783382159092,The Experience of Thomas H. Jones,$61.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
2742,9781984638588,Highway and Railroad Engineering,$59.00,,,,,,,,,(unknown),,,,,,,,,,,
663,9783368906542,Reseanteckningar från Orienten åren 1843-1849 II (Swedish Edition),$58.00,,https://www.iberlibro.com/Reseanteckningar-Fran-Orienten-Aren-1843-1849-Swedish/32045865631/bd,,,,,,,Outlook Verlag,,,,,,,,,,,38
1827,9783375115746,Zeitschrift für Stenographie und Orthographie: Achter Jahrgang (German Edition),$58.00,,https://www.amazon.co.uk/Zeitschrift-f%C3%BCr-Stenographie-Orthographie-Jahrgang/dp/3375115741,,,,,,,Salzwasser-Verlag,,,,,,,,,,,2
666,9783382140526,Siam,$58.00,,https://www.abebooks.com/Siam-N-A-McDonald-HardPress-Publishing/31040128567/bd,,,,,,,Outlook Verlag,,,,,,,,,,,38
675,9783368347321,"What's Mine's Mine; In Three Volumes, Volume 3: in large print",$58.00,,https://www.abebooks.com/Mines-Three-Volumes-Volume-3-George/32268768112/bd,,,,,,,Outlook Verlag,,,,,,,,,,,38
644,9783368230524,Darstellende Geometrie (German Edition),$58.00,,https://www.abebooks.com/Darstellende-Geometrie-Classic-Reprint-Christian-Beyel/31687210075/bd,,,,,,,Outlook Verlag,,,,,,,,,,,38
639,9783382164560,A Classified Catalogue of Educational Works,$58.00,,https://www.abebooks.com/Classified-Catalogue-School-College-Classical-Technical/32163701945/bd,,,,,,,Outlook Verlag,,,,,,,,,,,38
385,9783382047825,Aus dem Reiche der Naturwissenschaft: Zweiter Band (German Edition),$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
389,9783382808303,Defects in the Criminal Administration and Penal Legislation of Great Britain and Ireland,$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
394,9783382021221,Die Newcomes: Zehnter Band (German Edition),$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
407,9783382021702,"Königin Friederike von Schweden, geborne Prinzessin von Baden (German Edition)",$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
413,9783382803704,Miller's New York as it is,$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
415,9783382805661,New Theory of Galvanism. The Electrothermology of Chemistry,$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
416,9783382155544,Pennsylvania Dutch and Other Essays,$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
425,9783382146948,Reveries of a Woodsawyer,$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
426,9783382147044,Rheingold,$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
430,9783382039806,Sämmtliche Werke: Achter Band (German Edition),$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
448,9783382041526,Walther von Aquitanien (German Edition),$58.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
653,9783368178642,Lectures,$58.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
659,9783368361648,Pages from a Journal with Other Papers: in large print,$58.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
667,9783368905507,Storia di Milano: Tomo II (Italian Edition),$58.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
1462,9783368249083,Quer durch Afrika (German Edition),$57.00,,https://www.abebooks.co.uk/Quer-Afrika-H-Burmann-Antigonos-Verlag/32379700401/bd,,,,,,,Antigonos Verlag,,,,,,,,,,,6
384,9783382021160,Aus dem Reiche der Naturwissenschaft: Elfter Band (German Edition),$57.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
393,9783382013202,Die Knochengeschwülste: Erste Abtheilung (German Edition),$57.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
674,9783368817442,The Statutes Passed in the General Convention,$57.00,,,,,,,,,Outlook Verlag,,,,,,,,,,,38
642,9783368173722,Catalogue of the Marine Mollusca of New Zealand,$49.00,,https://www.abebooks.com/Catalogue-Marine-Mollusca-New-Zealand-Diagnoses/32446391578/bd,,,,,,,Outlook Verlag,,,,,,,,,,,38
381,9783382165529,Across the Continent and Around the World,$49.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
409,9783382151423,Leader Almanac and Compendium of Facts,$49.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
410,9783382139087,Leaves from the Past,$49.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
421,9783382134600,Report of Proceedings of the Ninth Annual Meeting,$49.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
423,9783382161880,Report on the Settlement od Dehra Doon,$49.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
424,9783382113384,Reports of De B. Randolph Keim,$49.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
1460,9783368041557,La instruccion publica en Estados Unidos (Spanish Edition),$49.00,,,,,,,,,Antigonos Verlag,,,,,,,,,,,6
1461,9783368039158,Memoria sobre a Filariose (Spanish Edition),$49.00,,,,,,,,,Antigonos Verlag,,,,,,,,,,,6
2068,9783368285685,Frances Waldeaux: in large print,$49.00,,,,,,,,,Forgotten Books,,,,,,,,,,,1
2241,9783368308506,The Tragedy Of Antony And Cleopatra: in large print,$49.00,,,,,,,,,Penguin USA,,,,,,,,,,,1
2430,9781119714538,"Acute Psychiatric Emergencies, Instructor Version",$49.00,,,,,,,,,Wiley-Blackwell,,,,,,,,,,,1
2814,9781473913738,Learning and Teaching Mathematics 0-8,$46.55,,https://www.abebooks.com/Learning-Teaching-Mathematics-0-8-Helen-Taylor/31459182979/bd,,,,,,,(unknown),,,,,,,,,,,
647,9783368044169,Ecos del arpa (Spanish Edition),$46.00,,https://www.amazon.com/dp/3368044168?lv=shuf&channelId=500&plpRedirect=mhFallback,,,,,,,Outlook Verlag,,,,,,,,,,,38
383,9783382175382,An Experimental Treatise on the Facts and Theories of Life,$46.00,,https://www.abebooks.com/Godsmarks-Poems-Experimental-Treatise-Facts-Theories/31055289648/bd,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
1907,9783368905842,Parantumassa (Finnish Edition),$46.00,,https://www.abebooks.co.uk/Parantumassa-Haapakoski-Kalle-Antiquum-Novum-Verlag/32475785918/bd,,,,,,,Antiquum Novum Verlag,,,,,,,,,,,1
388,9783382018306,Ciceros Rede für C. Plancius (German Edition),$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
391,9783382022129,Der Armen-Freund (German Edition),$46.00,,,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
